Sample Time,Memory Usage,
10:45:47:475,22812872,
10:45:47:482,22812872,
10:45:47:485,22812872,
10:45:47:489,22812872,
10:45:47:493,22812872,
10:45:47:496,22812872,
10:45:47:500,22812872,
10:45:47:504,22812872,
10:45:47:508,22812872,
10:45:47:512,22812872,
10:45:47:515,22812872,
10:45:47:519,22812872,
10:45:47:523,22812872,
10:45:47:527,22812872,
10:45:47:531,24152904,
10:45:47:534,24152904,
10:45:47:538,24152904,
10:45:47:543,24152904,
10:45:47:547,24152904,
10:45:47:551,25492952,
10:45:47:556,25492952,
10:45:47:562,25492952,
10:45:47:566,25492952,
10:45:47:570,25492952,
10:45:47:575,26832792,
10:45:47:579,26832792,
10:45:47:583,26832792,
10:45:47:587,26832792,
10:45:47:591,26832792,
10:45:47:594,26832792,
10:45:47:598,28172712,
10:45:47:603,28172712,
10:45:47:607,28172712,
10:45:47:610,28172712,
10:45:47:614,28172712,
10:45:47:619,28172712,
10:45:47:622,29512688,
10:45:47:626,29512688,
10:45:47:631,29512688,
10:45:47:635,29512688,
10:45:47:639,29512688,
10:45:47:644,29512688,
10:45:47:647,29512688,
10:45:47:652,29512688,
10:45:47:656,29512688,
10:45:47:663,29512688,
10:45:47:668,30852736,
10:45:47:672,30852736,
10:45:47:676,30852736,
10:45:47:680,30852736,
10:45:47:683,30852736,
10:45:47:687,32192744,
10:45:47:691,32192744,
10:45:47:695,32192744,
10:45:47:700,32192744,
10:45:47:705,32192744,
10:45:47:708,32192744,
10:45:47:712,32192744,
10:45:47:717,32192744,
10:45:47:721,32192744,
10:45:47:726,32192744,
10:45:47:730,32192744,
10:45:47:734,32192744,
10:45:47:737,32192744,
10:45:47:741,32192744,
10:45:47:746,32192744,
10:45:47:750,32192744,
10:45:47:754,32192744,
10:45:47:758,32192744,
10:45:47:761,32192744,
10:45:47:764,32192744,
10:45:47:768,32192744,
10:45:47:775,32192744,
10:45:47:780,32192744,
10:45:47:785,32192744,
10:45:47:961,20408856,
10:45:47:966,23111872,
10:45:47:975,23111872,
10:45:47:979,23111872,
10:45:47:983,23111872,
10:45:47:987,23299232,
10:45:47:992,24901232,
10:45:47:996,24901232,
10:45:47:999,24901232,
10:45:48:2,24901232,
10:45:48:6,24901232,
10:45:48:10,24901232,
10:45:48:14,24901232,
10:45:48:18,24901232,
10:45:48:21,24901232,
10:45:48:25,24901232,
10:45:48:29,26241104,
10:45:48:33,26241104,
10:45:48:37,26241104,
10:45:48:40,26241104,
10:45:48:44,26241104,
10:45:48:47,26241104,
10:45:48:51,26241104,
10:45:48:55,26241104,
10:45:48:58,26241104,
10:45:48:62,26241104,
10:45:48:66,26241104,
10:45:48:70,26241104,
10:45:48:74,26241104,
10:45:48:78,26241104,
10:45:48:82,26241104,
10:45:48:87,26241104,
10:45:48:91,26241104,
10:45:48:95,26241104,
10:45:48:99,26241104,
10:45:48:102,26241104,
10:45:48:106,27580984,
10:45:48:110,27580984,
10:45:48:114,27580984,
10:45:48:118,27580984,
10:45:48:121,27580984,
10:45:48:124,27580984,
10:45:48:128,27580984,
10:45:48:132,27580984,
10:45:48:136,27580984,
10:45:48:139,27580984,
10:45:48:143,27580984,
10:45:48:147,27580984,
10:45:48:150,27580984,
10:45:48:154,27580984,
10:45:48:158,27580984,
10:45:48:161,27580984,
10:45:48:165,27580984,
10:45:48:169,27580984,
10:45:48:173,27580984,
10:45:48:176,27580984,
10:45:48:180,27580984,
10:45:48:184,27580984,
10:45:48:188,27580984,
10:45:48:191,27580984,
10:45:48:195,27580984,
10:45:48:199,28920976,
10:45:48:202,28920976,
10:45:48:206,28920976,
10:45:48:210,28920976,
10:45:48:213,28920976,
10:45:48:217,28920976,
10:45:48:221,28920976,
10:45:48:225,28920976,
10:45:48:229,28920976,
10:45:48:233,28920976,
10:45:48:236,28920976,
10:45:48:240,28920976,
10:45:48:244,28920976,
10:45:48:248,28920976,
10:45:48:252,28920976,
10:45:48:255,28920976,
10:45:48:259,28920976,
10:45:48:263,28920976,
10:45:48:266,28920976,
10:45:48:270,28920976,
10:45:48:274,28920976,
10:45:48:277,28920976,
10:45:48:281,28920976,
10:45:48:285,28920976,
10:45:48:289,28920976,
10:45:48:293,30260816,
10:45:48:296,30260816,
10:45:48:300,30260816,
10:45:48:303,30260816,
10:45:48:307,30260816,
10:45:48:311,30260816,
10:45:48:314,30260816,
10:45:48:317,30260816,
10:45:48:321,30260816,
10:45:48:325,30260816,
10:45:48:329,30260816,
10:45:48:333,30260816,
10:45:48:337,30260816,
10:45:48:341,30260816,
10:45:48:345,30260816,
10:45:48:349,30260816,
10:45:48:353,30260816,
10:45:48:357,30260816,
10:45:48:361,30260816,
10:45:48:364,30260816,
10:45:48:369,30260816,
10:45:48:372,30260816,
10:45:48:376,30260816,
10:45:48:381,30260816,
10:45:48:385,30260816,
10:45:48:389,30260816,
