Sample Time,Memory Usage,
10:45:23:652,22796440,
10:45:23:658,22796440,
10:45:23:662,22796440,
10:45:23:666,22796440,
10:45:23:670,22796440,
10:45:23:673,22796440,
10:45:23:677,22796440,
10:45:23:681,22796440,
10:45:23:685,22796440,
10:45:23:689,22796440,
10:45:23:693,22796440,
10:45:23:696,24154888,
10:45:23:700,24154888,
10:45:23:704,24154888,
10:45:23:708,24154888,
10:45:23:712,24154888,
10:45:23:716,24154888,
10:45:23:719,25490480,
10:45:23:723,25490480,
10:45:23:727,25490480,
10:45:23:730,25490480,
10:45:23:734,25490480,
10:45:23:738,25490480,
10:45:23:742,25490480,
10:45:23:746,26825968,
10:45:23:749,26825968,
10:45:23:753,26825968,
10:45:23:756,26825968,
10:45:23:760,26825968,
10:45:23:763,26825968,
10:45:23:767,26825968,
10:45:23:771,26825968,
10:45:23:774,26825968,
10:45:23:778,28161480,
10:45:23:782,28161480,
10:45:23:786,28161480,
10:45:23:789,28161480,
10:45:23:793,28161480,
10:45:23:796,28161480,
10:45:23:800,28161480,
10:45:23:803,28161480,
10:45:23:806,29498008,
10:45:23:810,29498008,
10:45:23:814,29498008,
10:45:23:819,29498008,
10:45:23:828,29498008,
10:45:23:831,29498008,
10:45:23:835,29498008,
10:45:23:838,29498008,
10:45:23:842,29498008,
10:45:23:846,29498008,
10:45:23:850,29498008,
10:45:23:854,29498008,
10:45:23:858,29498008,
10:45:23:861,29498008,
10:45:23:865,29498008,
10:45:23:868,29498008,
10:45:23:872,29498008,
10:45:23:876,29498008,
10:45:23:880,29498008,
10:45:23:883,29498008,
10:45:23:888,29498008,
10:45:23:893,29498008,
10:45:23:897,29498008,
10:45:23:901,29498008,
10:45:23:905,29498008,
10:45:23:908,29498008,
10:45:23:912,29498008,
10:45:23:916,29498008,
10:45:23:921,29498008,
10:45:23:936,29498008,
10:45:23:940,29498008,
10:45:23:944,29498008,
10:45:23:949,29498008,
10:45:23:953,29498008,
10:45:23:956,29498008,
10:45:23:960,29498008,
10:45:23:965,29498008,
10:45:23:969,29498008,
10:45:23:972,29498008,
10:45:23:976,29498008,
10:45:23:980,29498008,
10:45:23:984,29498008,
10:45:23:987,29498008,
10:45:23:991,29498008,
10:45:23:995,29498008,
10:45:23:999,29498008,
10:45:24:3,29498008,
10:45:24:7,29498008,
10:45:24:11,29498008,
10:45:24:14,29498008,
10:45:24:19,29498008,
10:45:24:23,29498008,
10:45:24:26,29498008,
10:45:24:30,29498008,
10:45:24:35,29498008,
10:45:24:39,29498008,
10:45:24:43,29498008,
10:45:24:46,30849896,
10:45:24:51,30849896,
10:45:24:55,30849896,
10:45:24:58,30849896,
10:45:24:61,30849896,
10:45:24:65,30849896,
10:45:24:68,30849896,
10:45:24:72,30849896,
10:45:24:75,30849896,
10:45:24:79,30849896,
10:45:24:82,30849896,
10:45:24:88,30849896,
10:45:24:94,30849896,
10:45:24:98,30849896,
10:45:24:102,30849896,
10:45:24:105,30849896,
10:45:24:109,30849896,
10:45:24:112,30849896,
10:45:24:116,30849896,
10:45:24:120,30849896,
10:45:24:123,30849896,
10:45:24:127,30849896,
10:45:24:131,30849896,
10:45:24:136,30849896,
10:45:24:139,30849896,
10:45:24:143,30849896,
10:45:24:147,30849896,
10:45:24:151,30849896,
10:45:24:155,30849896,
10:45:24:158,32185384,
10:45:24:162,32185384,
10:45:24:169,32185384,
10:45:24:175,32185384,
10:45:24:181,32185384,
10:45:24:192,32185384,
10:45:24:196,32185384,
10:45:24:200,32185384,
10:45:24:205,32185384,
10:45:24:209,32185384,
10:45:24:213,32185384,
10:45:24:217,32185384,
10:45:24:221,32185384,
10:45:24:228,32185384,
10:45:24:232,32185384,
10:45:24:236,32185384,
10:45:24:240,32185384,
10:45:24:244,32185384,
10:45:24:248,32185384,
10:45:24:253,32185384,
10:45:24:257,32185384,
10:45:24:262,32185384,
10:45:24:266,32185384,
10:45:24:270,32185384,
10:45:24:276,32185384,
10:45:24:280,32185384,
10:45:24:286,32185384,
10:45:24:290,32185384,
10:45:24:296,32185384,
10:45:24:299,32185384,
10:45:24:618,20102624,
10:45:24:621,22801384,
10:45:24:628,22801384,
10:45:24:644,22801384,
10:45:24:649,22801384,
10:45:24:652,22801384,
10:45:24:657,22801384,
10:45:24:660,22801384,
10:45:24:665,22801384,
10:45:24:669,24399032,
10:45:24:673,24399032,
10:45:24:677,24586392,
10:45:24:681,24586392,
10:45:24:685,24586392,
10:45:24:689,24586392,
10:45:24:692,24586392,
10:45:24:696,24586392,
10:45:24:699,24586392,
10:45:24:704,24586392,
10:45:24:708,24586392,
10:45:24:711,24586392,
10:45:24:715,24586392,
10:45:24:719,24586392,
10:45:24:723,24586392,
10:45:24:727,24586392,
10:45:24:730,24586392,
10:45:24:733,24586392,
10:45:24:737,25921912,
10:45:24:741,25921912,
10:45:24:745,25921912,
10:45:24:749,25921912,
10:45:24:752,25921912,
10:45:24:756,25921912,
10:45:24:759,25921912,
10:45:24:763,25921912,
10:45:24:766,25921912,
10:45:24:770,25921912,
10:45:24:774,25921912,
10:45:24:777,25921912,
10:45:24:781,25921912,
10:45:24:785,25921912,
10:45:24:789,25921912,
10:45:24:792,25921912,
10:45:24:795,25921912,
10:45:24:799,25921912,
10:45:24:803,25921912,
10:45:24:807,25921912,
10:45:24:811,25921912,
10:45:24:814,25921912,
10:45:24:818,25921912,
10:45:24:822,25921912,
10:45:24:825,25921912,
10:45:24:829,25921912,
10:45:24:832,27265608,
10:45:24:836,27265608,
10:45:24:840,27265608,
10:45:24:843,27265608,
10:45:24:847,27265608,
10:45:24:851,27265608,
10:45:24:855,27265608,
10:45:24:858,27265608,
10:45:24:861,27265608,
10:45:24:865,27265608,
10:45:24:869,27265608,
10:45:24:872,27265608,
10:45:24:875,27265608,
10:45:24:879,27265608,
10:45:24:883,27265608,
10:45:24:899,27265608,
10:45:24:902,27265608,
10:45:24:906,27265608,
10:45:24:909,27265608,
10:45:24:913,27265608,
10:45:24:917,27265608,
10:45:24:921,27265608,
10:45:24:924,27265608,
10:45:24:929,27265608,
10:45:24:933,27265608,
10:45:24:937,27265608,
10:45:24:940,27265608,
10:45:24:944,27265608,
10:45:24:948,27265608,
10:45:24:952,27265608,
10:45:24:956,27265608,
10:45:24:960,27265608,
10:45:24:964,27265608,
10:45:24:967,27265608,
10:45:24:972,28601144,
10:45:24:977,28601144,
10:45:24:981,28601144,
10:45:24:988,28601144,
10:45:24:991,28601144,
10:45:24:996,28601144,
10:45:25:0,28601144,
10:45:25:4,28601144,
10:45:25:8,28601144,
10:45:25:12,28601144,
10:45:25:15,28601144,
10:45:25:19,28601144,
10:45:25:22,28601144,
10:45:25:26,28601144,
10:45:25:30,28601144,
10:45:25:33,28601144,
10:45:25:37,28601144,
10:45:25:41,28601144,
10:45:25:44,29944840,
10:45:25:48,29944840,
10:45:25:52,29944840,
10:45:25:56,29944840,
10:45:25:59,29944840,
10:45:25:63,29944840,
10:45:25:66,29944840,
10:45:25:70,29944840,
10:45:25:74,29944840,
10:45:25:77,29944840,
10:45:25:81,29944840,
10:45:25:84,29944840,
10:45:25:88,29944840,
10:45:25:91,29944840,
10:45:25:95,29944840,
10:45:25:98,29944840,
10:45:25:102,29944840,
10:45:25:105,29944840,
10:45:25:109,29944840,
10:45:25:113,29944840,
10:45:25:116,29944840,
10:45:25:120,29944840,
10:45:25:124,29944840,
10:45:25:128,29944840,
10:45:25:132,29944840,
10:45:25:135,29944840,
10:45:25:139,29944840,
10:45:25:144,29944840,
10:45:25:148,29944840,
10:45:25:152,29944840,
10:45:25:156,29944840,
10:45:25:160,29944840,
10:45:25:164,29944840,
10:45:25:170,31280416,
10:45:25:175,31280416,
10:45:25:180,31280416,
10:45:25:183,31280416,
10:45:25:187,31280416,
10:45:25:191,31280416,
10:45:25:195,31280416,
10:45:25:198,31280416,
10:45:25:201,31280416,
10:45:25:205,31280416,
10:45:25:209,31280416,
10:45:25:214,31280416,
10:45:25:218,31280416,
10:45:25:221,31280416,
10:45:25:225,31280416,
10:45:25:229,31280416,
10:45:25:233,32615928,
10:45:25:239,32615928,
10:45:25:243,32615928,
10:45:25:247,32615928,
10:45:25:251,32615928,
10:45:25:255,32615928,
10:45:25:259,32615928,
10:45:25:264,32615928,
10:45:25:268,32615928,
10:45:25:271,32615928,
10:45:25:276,32615928,
10:45:25:280,32615928,
10:45:25:284,32615928,
10:45:25:288,33951456,
10:45:25:292,33951456,
10:45:25:296,33951456,
