Sample Time,Memory Usage,
10:46:44:145,21722968,
10:46:44:151,21722968,
10:46:44:155,21722968,
10:46:44:158,21722968,
10:46:44:162,21722968,
10:46:44:165,21722968,
10:46:44:170,21722968,
10:46:44:173,21722968,
10:46:44:177,21722968,
10:46:44:181,21722968,
10:46:44:185,21722968,
10:46:44:188,22391992,
10:46:44:191,22391992,
10:46:44:195,22391992,
10:46:44:199,22391992,
10:46:44:203,22391992,
10:46:44:206,22391992,
10:46:44:210,22391992,
10:46:44:214,22391992,
10:46:44:218,22391992,
10:46:44:222,22391992,
10:46:44:226,22391992,
10:46:44:229,22391992,
10:46:44:233,22391992,
10:46:44:237,23060928,
10:46:44:240,23060928,
10:46:44:244,23060928,
10:46:44:248,23730008,
10:46:44:252,23730008,
10:46:44:256,23730008,
10:46:44:259,23730008,
10:46:44:262,23730008,
10:46:44:266,23730008,
10:46:44:270,23730008,
10:46:44:273,24398976,
10:46:44:277,24398976,
10:46:44:280,24398976,
10:46:44:284,24398976,
10:46:44:287,25068144,
10:46:44:291,25068144,
10:46:44:295,25068144,
10:46:44:299,25737104,
10:46:44:303,25737104,
10:46:44:307,25737104,
10:46:44:310,26406200,
10:46:44:314,26406200,
10:46:44:318,26406200,
10:46:44:322,27075288,
10:46:44:326,27075288,
10:46:44:330,27075288,
10:46:44:333,27744224,
10:46:44:337,27744224,
10:46:44:341,28414200,
10:46:44:345,28414200,
10:46:44:348,28414200,
10:46:44:352,28414200,
10:46:44:355,28414200,
10:46:44:359,28414200,
10:46:44:362,29083392,
10:46:44:366,29083392,
10:46:44:369,29083392,
10:46:44:373,29083392,
10:46:44:376,29752328,
10:46:44:380,29752328,
10:46:44:384,29752328,
10:46:44:388,29752328,
10:46:44:392,30437664,
10:46:44:395,30437664,
10:46:44:399,30437664,
10:46:44:403,30437664,
10:46:44:406,30437664,
10:46:44:409,31106688,
10:46:44:413,31106688,
10:46:44:417,31106688,
10:46:44:420,31106688,
10:46:44:424,31106688,
10:46:44:428,31106688,
10:46:44:432,31106688,
10:46:44:436,31106688,
10:46:44:440,31775656,
10:46:44:443,31775656,
10:46:44:447,31775656,
10:46:44:451,31775656,
10:46:44:454,31775656,
10:46:44:458,31775656,
10:46:44:462,31775656,
10:46:44:465,31775656,
10:46:44:469,32444592,
10:46:44:638,20579072,
10:46:44:642,21354352,
10:46:44:646,21354352,
10:46:44:650,21354352,
10:46:44:654,21354352,
10:46:44:659,21354352,
10:46:44:662,21354352,
10:46:44:666,21354352,
10:46:44:670,21354352,
10:46:44:674,21354352,
10:46:44:678,21354352,
10:46:44:682,21354352,
10:46:44:685,22023328,
10:46:44:688,22023328,
10:46:44:692,22023328,
10:46:44:696,22023328,
10:46:44:700,22023328,
10:46:44:703,22023328,
10:46:44:707,22023328,
10:46:44:711,22023328,
10:46:44:715,22023328,
10:46:44:718,22692288,
10:46:44:722,22692288,
10:46:44:726,22692288,
10:46:44:731,22692288,
10:46:44:734,22692288,
10:46:44:738,22692288,
10:46:44:741,22692288,
10:46:44:745,22692288,
10:46:44:749,22692288,
10:46:44:752,22692288,
10:46:44:756,22692288,
10:46:44:763,22692288,
10:46:44:767,22692288,
10:46:44:771,22692288,
10:46:44:775,22692288,
10:46:44:779,22692288,
10:46:44:783,22692288,
10:46:44:787,22692288,
10:46:44:790,22692288,
10:46:44:794,22692288,
10:46:44:798,22692288,
10:46:44:801,22692288,
10:46:44:806,23361352,
10:46:44:810,23361352,
10:46:44:813,23361352,
10:46:44:816,23361352,
