Sample Time,Memory Usage,
10:47:25:219,22640864,
10:47:25:225,22640864,
10:47:25:229,22640864,
10:47:25:232,22640864,
10:47:25:236,22640864,
10:47:25:239,22640864,
10:47:25:243,22640864,
10:47:25:247,22640864,
10:47:25:251,22640864,
10:47:25:254,22640864,
10:47:25:258,22640864,
10:47:25:262,23982648,
10:47:25:265,23982648,
10:47:25:269,23982648,
10:47:25:273,23982648,
10:47:25:277,23982648,
10:47:25:281,25324624,
10:47:25:284,25324624,
10:47:25:288,25324624,
10:47:25:291,25324624,
10:47:25:295,25324624,
10:47:25:299,25324624,
10:47:25:302,25324624,
10:47:25:306,26666528,
10:47:25:310,26666528,
10:47:25:314,26666528,
10:47:25:318,26666528,
10:47:25:322,28008632,
10:47:25:326,28008632,
10:47:25:330,28008632,
10:47:25:333,28008632,
10:47:25:337,28008632,
10:47:25:341,28008632,
10:47:25:345,29350456,
10:47:25:349,29350456,
10:47:25:352,29350456,
10:47:25:356,29350456,
10:47:25:360,29350456,
10:47:25:364,29350456,
10:47:25:367,29350456,
10:47:25:371,30692272,
10:47:25:375,30692272,
10:47:25:379,30692272,
10:47:25:382,30692272,
10:47:25:386,30692272,
10:47:25:390,30692272,
10:47:25:394,30692272,
10:47:25:398,32034152,
10:47:25:401,32034152,
10:47:25:405,32034152,
10:47:25:409,32034152,
10:47:25:413,32034152,
10:47:25:416,32034152,
10:47:25:420,32034152,
10:47:25:424,32034152,
10:47:25:587,19947808,
10:47:25:596,22652728,
10:47:25:600,22652728,
10:47:25:604,22652728,
10:47:25:607,22652728,
10:47:25:611,22652728,
10:47:25:615,22652728,
10:47:25:619,22652728,
10:47:25:623,23994544,
10:47:25:627,23994544,
10:47:25:631,23994544,
10:47:25:634,24181904,
10:47:25:637,24181904,
10:47:25:641,24181904,
10:47:25:645,24181904,
10:47:25:649,24181904,
10:47:25:653,24181904,
10:47:25:656,24181904,
10:47:25:660,24181904,
10:47:25:664,24181904,
10:47:25:668,24181904,
10:47:25:672,24181904,
10:47:25:676,24181904,
10:47:25:680,24181904,
10:47:25:684,24181904,
10:47:25:687,24181904,
10:47:25:691,24181904,
10:47:25:695,24181904,
10:47:25:699,24181904,
10:47:25:703,25523688,
10:47:25:706,25523688,
10:47:25:710,25523688,
10:47:25:714,25523688,
10:47:25:718,25523688,
10:47:25:722,25523688,
10:47:25:726,25523688,
10:47:25:730,25523688,
10:47:25:733,25523688,
10:47:25:737,25523688,
10:47:25:741,25523688,
10:47:25:745,25523688,
10:47:25:749,25523688,
10:47:25:752,25523688,
10:47:25:756,25523688,
10:47:25:760,26865448,
10:47:25:764,26865448,
10:47:25:767,26865448,
10:47:25:771,26865448,
10:47:25:775,26865448,
10:47:25:779,26865448,
10:47:25:783,26865448,
10:47:25:787,28207208,
10:47:25:791,28207208,
10:47:25:794,28207208,
10:47:25:798,28207208,
10:47:25:802,28207208,
10:47:25:806,28207208,
10:47:25:809,28207208,
10:47:25:813,28207208,
10:47:25:817,28207208,
10:47:25:821,28207208,
10:47:25:825,28207208,
10:47:25:829,28207208,
10:47:25:832,28207208,
10:47:25:836,28207208,
10:47:25:839,28207208,
10:47:25:842,28207208,
10:47:25:846,28207208,
10:47:25:850,28207208,
10:47:25:853,28207208,
10:47:25:856,28207208,
10:47:25:860,28207208,
10:47:25:864,28207208,
10:47:25:867,29549024,
10:47:25:871,29549024,
10:47:25:874,29549024,
10:47:25:878,29549024,
10:47:25:881,29549024,
10:47:25:885,29549024,
10:47:25:889,29549024,
10:47:25:893,29549024,
10:47:25:897,29549024,
10:47:25:901,29549024,
10:47:25:904,29549024,
10:47:25:908,29549024,
10:47:25:911,30891000,
10:47:25:915,30891000,
10:47:25:919,30891000,
10:47:25:922,30891000,
10:47:25:926,30891000,
10:47:25:930,30891000,
10:47:25:933,30891000,
10:47:25:936,30891000,
10:47:25:940,30891000,
