Sample Time,Memory Usage,
10:47:3:660,21690824,
10:47:3:667,21690824,
10:47:3:670,21690824,
10:47:3:674,21690824,
10:47:3:678,21690824,
10:47:3:681,21690824,
10:47:3:685,22360728,
10:47:3:689,22360728,
10:47:3:693,22360728,
10:47:3:697,22360728,
10:47:3:701,22360728,
10:47:3:705,22360728,
10:47:3:708,22360728,
10:47:3:712,22360728,
10:47:3:716,23030768,
10:47:3:720,23030768,
10:47:3:724,23700616,
10:47:3:728,23700616,
10:47:3:732,23700616,
10:47:3:736,24370376,
10:47:3:740,24370376,
10:47:3:743,24370376,
10:47:3:747,25040608,
10:47:3:751,25040608,
10:47:3:755,25040608,
10:47:3:759,25710616,
10:47:3:763,25710616,
10:47:3:766,25710616,
10:47:3:770,25710616,
10:47:3:774,26380448,
10:47:3:778,26380448,
10:47:3:782,26380448,
10:47:3:786,26380448,
10:47:3:790,26380448,
10:47:3:793,27050328,
10:47:3:797,27050328,
10:47:3:801,27050328,
10:47:3:805,27050328,
10:47:3:809,27720088,
10:47:3:813,27720088,
10:47:3:816,27720088,
10:47:3:820,28390040,
10:47:3:824,28390040,
10:47:3:828,28390040,
10:47:3:831,28390040,
10:47:3:835,29059840,
10:47:3:839,29059840,
10:47:3:843,29059840,
10:47:3:846,29059840,
10:47:3:850,29746000,
10:47:3:854,29746000,
10:47:3:858,29746000,
10:47:3:862,29746000,
10:47:3:865,29746000,
10:47:3:870,29746000,
10:47:3:899,29746000,
10:47:3:903,29746000,
10:47:3:906,29746000,
10:47:3:909,29746000,
10:47:3:913,29746000,
10:47:3:918,29746000,
10:47:3:921,29746000,
10:47:3:925,29746000,
10:47:3:928,29746000,
10:47:3:933,29746000,
10:47:3:937,29746000,
10:47:3:941,29746000,
10:47:3:945,29746000,
10:47:3:949,29746000,
10:47:3:952,29746000,
10:47:3:956,29746000,
10:47:3:961,29746000,
10:47:3:966,29746000,
10:47:3:970,29746000,
10:47:3:974,29746000,
10:47:3:977,30415848,
10:47:3:981,30415848,
10:47:3:985,30415848,
10:47:3:989,30415848,
10:47:3:993,30415848,
10:47:3:997,30415848,
10:47:4:1,30415848,
10:47:4:5,30415848,
10:47:4:9,30415848,
10:47:4:14,30415848,
10:47:4:18,30415848,
10:47:4:22,30415848,
10:47:4:25,30415848,
10:47:4:30,30415848,
10:47:4:33,30415848,
10:47:4:37,30415848,
10:47:4:41,30415848,
10:47:4:45,30415848,
10:47:4:49,30415848,
10:47:4:52,30415848,
10:47:4:55,30415848,
10:47:4:59,30415848,
10:47:4:63,30415848,
10:47:4:66,30415848,
10:47:4:70,30415848,
10:47:4:75,30415848,
10:47:4:79,30415848,
10:47:4:83,30415848,
10:47:4:86,30415848,
10:47:4:89,30415848,
10:47:4:93,30415848,
10:47:4:97,30415848,
10:47:4:100,30415848,
10:47:4:104,30415848,
10:47:4:108,30415848,
10:47:4:112,30415848,
10:47:4:115,30415848,
10:47:4:119,30415848,
10:47:4:123,31085816,
10:47:4:127,31085816,
10:47:4:131,31085816,
10:47:4:134,31085816,
10:47:4:138,31085816,
10:47:4:141,31085816,
10:47:4:145,31085816,
10:47:4:148,31085816,
10:47:4:153,31085816,
10:47:4:157,31085816,
10:47:4:161,31085816,
10:47:4:164,31085816,
10:47:4:168,31085816,
10:47:4:172,31085816,
10:47:4:176,31085816,
10:47:4:179,31085816,
10:47:4:183,31085816,
10:47:4:187,31085816,
10:47:4:190,31085816,
10:47:4:193,31085816,
10:47:4:197,31085816,
10:47:4:200,31085816,
10:47:4:204,31085816,
10:47:4:208,31085816,
10:47:4:212,31085816,
10:47:4:216,31085816,
10:47:4:220,31085816,
10:47:4:223,31085816,
10:47:4:227,31085816,
10:47:4:231,31085816,
10:47:4:235,31755576,
10:47:4:239,31755576,
10:47:4:242,31755576,
10:47:4:247,31755576,
10:47:4:431,19853432,
10:47:4:436,21204800,
10:47:4:440,21204800,
10:47:4:455,21204800,
10:47:4:459,21204800,
10:47:4:470,21204800,
10:47:4:473,21204800,
10:47:4:477,21204800,
10:47:4:481,21204800,
10:47:4:484,21204800,
10:47:4:487,21298488,
10:47:4:491,21298488,
10:47:4:495,21968312,
10:47:4:499,21968312,
10:47:4:502,21968312,
10:47:4:506,21968312,
10:47:4:509,21968312,
10:47:4:514,21968312,
10:47:4:519,22638072,
10:47:4:522,22638072,
10:47:4:529,22638072,
10:47:4:532,22638072,
10:47:4:537,22638072,
10:47:4:542,22638072,
10:47:4:545,23307832,
10:47:4:549,23307832,
10:47:4:555,23307832,
10:47:4:559,23307832,
10:47:4:563,23307832,
10:47:4:570,23307832,
10:47:4:574,23307832,
10:47:4:577,23307832,
10:47:4:581,23307832,
10:47:4:585,23307832,
10:47:4:589,23307832,
10:47:4:592,23307832,
10:47:4:596,23307832,
10:47:4:601,23985800,
10:47:4:605,23985800,
10:47:4:608,23985800,
10:47:4:612,23985800,
10:47:4:616,23985800,
10:47:4:620,23985800,
10:47:4:624,23985800,
10:47:4:628,23985800,
10:47:4:631,23985800,
10:47:4:635,23985800,
10:47:4:639,23985800,
10:47:4:643,23985800,
10:47:4:646,23985800,
10:47:4:650,23985800,
10:47:4:653,24672064,
10:47:4:658,24672064,
10:47:4:662,24672064,
10:47:4:665,24672064,
10:47:4:669,24672064,
10:47:4:673,24672064,
10:47:4:677,25341824,
10:47:4:680,25341824,
10:47:4:683,25341824,
10:47:4:687,25341824,
10:47:4:691,25341824,
10:47:4:694,25341824,
10:47:4:698,26011672,
10:47:4:702,26011672,
10:47:4:706,26011672,
10:47:4:709,26011672,
10:47:4:713,26011672,
10:47:4:716,26011672,
10:47:4:719,26011672,
10:47:4:723,26011672,
10:47:4:727,26011672,
10:47:4:730,26681432,
10:47:4:734,26681432,
10:47:4:737,26681432,
10:47:4:741,26681432,
10:47:4:744,26681432,
10:47:4:748,26681432,
10:47:4:752,26681432,
10:47:4:755,26681432,
