Sample Time,Memory Usage,
10:42:38:294,22815560,
10:42:38:300,22815560,
10:42:38:304,22815560,
10:42:38:307,22815560,
10:42:38:311,22815560,
10:42:38:315,22815560,
10:42:38:319,22815560,
10:42:38:322,22815560,
10:42:38:327,22815560,
10:42:38:331,22815560,
10:42:38:334,22815560,
10:42:38:338,22815560,
10:42:38:342,22815560,
10:42:38:345,22815560,
10:42:38:349,22815560,
10:42:38:353,24152912,
10:42:38:357,24152912,
10:42:38:361,24152912,
10:42:38:365,24152912,
10:42:38:369,24152912,
10:42:38:372,24152912,
10:42:38:376,24152912,
10:42:38:379,25488912,
10:42:38:383,25488912,
10:42:38:386,25488912,
10:42:38:389,25488912,
10:42:38:393,25488912,
10:42:38:397,25488912,
10:42:38:401,25488912,
10:42:38:405,26825160,
10:42:38:409,26825160,
10:42:38:413,26825160,
10:42:38:418,26825160,
10:42:38:421,26825160,
10:42:38:424,26825160,
10:42:38:428,28161480,
10:42:38:432,28161480,
10:42:38:435,28161480,
10:42:38:439,28161480,
10:42:38:443,28161480,
10:42:38:447,28161480,
10:42:38:451,29497480,
10:42:38:454,29497480,
10:42:38:457,29497480,
10:42:38:461,29497480,
10:42:38:465,29497480,
10:42:38:468,29497480,
10:42:38:472,29497480,
10:42:38:476,30849880,
10:42:38:479,30849880,
10:42:38:483,30849880,
10:42:38:487,30849880,
10:42:38:490,30849880,
10:42:38:494,30849880,
10:42:38:498,30849880,
10:42:38:501,30849880,
10:42:38:505,30849880,
10:42:38:508,30849880,
10:42:38:512,30849880,
10:42:38:516,30849880,
10:42:38:520,32185904,
10:42:38:523,32185904,
10:42:38:526,32185904,
10:42:38:529,32185904,
10:42:38:532,32185904,
10:42:38:536,32185904,
10:42:38:540,32185904,
10:42:38:543,32185904,
10:42:38:547,32185904,
10:42:38:551,32185904,
10:42:38:555,32185904,
10:42:38:558,32185904,
10:42:38:705,20173752,
10:42:38:709,23068656,
10:42:38:716,23068656,
10:42:38:721,23068656,
10:42:38:724,23068656,
10:42:38:728,23068656,
10:42:38:731,23068656,
10:42:38:736,23068656,
10:42:38:739,23068656,
10:42:38:743,23068656,
10:42:38:747,23068656,
10:42:38:751,23068656,
10:42:38:755,24404688,
10:42:38:759,24404688,
10:42:38:762,24404688,
10:42:38:766,24404688,
10:42:38:772,24404688,
10:42:38:776,24404688,
10:42:38:780,24404688,
10:42:38:784,24404688,
10:42:38:787,24404688,
10:42:38:791,24404688,
10:42:38:795,24404688,
10:42:38:799,24404688,
10:42:38:803,24404688,
10:42:38:806,25740752,
10:42:38:810,25740752,
10:42:38:815,25740752,
10:42:38:819,25740752,
10:42:38:824,25740752,
10:42:38:832,25740752,
10:42:38:840,25740752,
10:42:38:843,25740752,
10:42:38:846,25740752,
10:42:38:850,25740752,
10:42:38:853,25740752,
10:42:38:856,25740752,
10:42:38:860,25740752,
10:42:38:863,25740752,
10:42:38:867,25740752,
