Sample Time,Memory Usage,
10:43:33:917,22658768,
10:43:33:924,22658768,
10:43:33:927,22658768,
10:43:33:931,22658768,
10:43:33:935,22658768,
10:43:33:938,22658768,
10:43:33:943,22658768,
10:43:33:947,22658768,
10:43:33:950,22658768,
10:43:33:954,22658768,
10:43:33:958,22658768,
10:43:33:962,22658768,
10:43:33:966,22658768,
10:43:33:970,22658768,
10:43:33:974,22658768,
10:43:33:978,23987256,
10:43:33:982,23987256,
10:43:33:985,23987256,
10:43:33:989,23987256,
10:43:33:993,23987256,
10:43:33:997,23987256,
10:43:34:0,23987256,
10:43:34:4,25315856,
10:43:34:8,25315856,
10:43:34:11,25315856,
10:43:34:15,25315856,
10:43:34:19,25315856,
10:43:34:22,25315856,
10:43:34:26,25315856,
10:43:34:29,25315856,
10:43:34:33,25315856,
10:43:34:37,25315856,
10:43:34:40,25315856,
10:43:34:44,25315856,
10:43:34:47,25315856,
10:43:34:51,26657416,
10:43:34:54,26657416,
10:43:34:58,26657416,
10:43:34:62,26657416,
10:43:34:66,26657416,
10:43:34:69,26657416,
10:43:34:73,26657416,
10:43:34:77,27986024,
10:43:34:80,27986024,
10:43:34:84,27986024,
10:43:34:88,27986024,
10:43:34:92,27986024,
10:43:34:96,27986024,
10:43:34:100,29314536,
10:43:34:103,29314536,
10:43:34:107,29314536,
10:43:34:110,29314536,
10:43:34:114,29314536,
10:43:34:118,29314536,
10:43:34:121,29314536,
10:43:34:125,29314536,
10:43:34:129,29314536,
10:43:34:132,29314536,
10:43:34:136,29314536,
10:43:34:139,30643240,
10:43:34:143,30643240,
10:43:34:146,30643240,
10:43:34:150,30643240,
10:43:34:154,30643240,
10:43:34:157,30643240,
10:43:34:161,30643240,
10:43:34:164,30643240,
10:43:34:168,30643240,
10:43:34:172,30643240,
10:43:34:176,30643240,
10:43:34:179,31971792,
10:43:34:183,31971792,
10:43:34:187,31971792,
10:43:34:191,31971792,
10:43:34:195,31971792,
10:43:34:199,31971792,
10:43:34:203,31971792,
10:43:34:208,31971792,
10:43:34:213,33300344,
10:43:34:344,20733320,
10:43:34:348,26116608,
10:43:34:352,26116608,
10:43:34:361,26116608,
10:43:34:364,26116608,
10:43:34:368,26116608,
10:43:34:372,26116608,
10:43:34:375,26116608,
10:43:34:378,26116608,
10:43:34:382,26692672,
10:43:34:386,26692672,
10:43:34:390,26692672,
10:43:34:393,26692672,
10:43:34:397,26692672,
10:43:34:401,26692672,
10:43:34:405,26692672,
10:43:34:408,26692672,
10:43:34:412,26692672,
10:43:34:416,26692672,
10:43:34:420,26692672,
10:43:34:423,26692672,
10:43:34:427,26692672,
10:43:34:431,26692672,
10:43:34:434,26692672,
10:43:34:438,26692672,
10:43:34:442,26692672,
10:43:34:446,26692672,
10:43:34:450,26692672,
10:43:34:454,26692672,
10:43:34:458,26692672,
10:43:34:462,26692672,
10:43:34:465,26692672,
10:43:34:469,26692672,
10:43:34:473,26692672,
10:43:34:477,26692672,
10:43:34:481,26692672,
10:43:34:485,26692672,
10:43:34:488,26692672,
10:43:34:492,26692672,
10:43:34:496,26692672,
10:43:34:500,26692672,
10:43:34:504,26692672,
10:43:34:507,26692672,
10:43:34:511,26692672,
10:43:34:515,26692672,
10:43:34:519,26692672,
10:43:34:523,26692672,
10:43:34:527,26692672,
10:43:34:530,26692672,
10:43:34:534,29349704,
10:43:34:538,29349704,
10:43:34:542,29349704,
10:43:34:545,29349704,
10:43:34:549,29349704,
10:43:34:553,29349704,
10:43:34:557,29349704,
10:43:34:560,29349704,
10:43:34:564,29349704,
10:43:34:567,29349704,
