Sample Time,Memory Usage,
10:43:9:692,21668048,
10:43:9:698,21668048,
10:43:9:702,21668048,
10:43:9:706,21668048,
10:43:9:710,21668048,
10:43:9:714,21668048,
10:43:9:717,22336160,
10:43:9:721,22336160,
10:43:9:725,22336160,
10:43:9:728,22336160,
10:43:9:732,22336160,
10:43:9:736,22336160,
10:43:9:740,22336160,
10:43:9:744,22336160,
10:43:9:748,23004144,
10:43:9:752,23004144,
10:43:9:756,23672024,
10:43:9:760,23672024,
10:43:9:763,23672024,
10:43:9:767,23672024,
10:43:9:770,23672024,
10:43:9:773,23672024,
10:43:9:777,24342224,
10:43:9:781,24342224,
10:43:9:785,24342224,
10:43:9:789,24342224,
10:43:9:793,24342224,
10:43:9:797,24342224,
10:43:9:801,25010424,
10:43:9:807,25010424,
10:43:9:812,25678304,
10:43:9:816,25678304,
10:43:9:821,25678304,
10:43:9:825,26346280,
10:43:9:829,26346280,
10:43:9:833,26346280,
10:43:9:838,26346280,
10:43:9:843,27014480,
10:43:9:847,27014480,
10:43:9:851,27014480,
10:43:9:856,27682360,
10:43:9:861,27682360,
10:43:9:865,28350240,
10:43:9:869,28350240,
10:43:9:873,28350240,
10:43:9:877,28350240,
10:43:9:881,29018360,
10:43:9:885,29018360,
10:43:9:889,29018360,
10:43:9:893,29018360,
10:43:9:897,29702640,
10:43:9:902,29702640,
10:43:9:916,29702640,
10:43:9:930,29702640,
10:43:9:934,29702640,
10:43:9:940,29702640,
10:43:9:943,29702640,
10:43:9:947,29702640,
10:43:9:951,29702640,
10:43:9:955,29702640,
10:43:9:959,29702640,
10:43:9:963,29702640,
10:43:9:966,29702640,
10:43:9:970,29702640,
10:43:9:973,29702640,
10:43:9:977,30370576,
10:43:9:982,30370576,
10:43:9:987,30370576,
10:43:9:991,30370576,
10:43:9:995,31038456,
10:43:9:998,31038456,
10:43:10:2,31038456,
10:43:10:7,31038456,
10:43:10:11,31038456,
10:43:10:17,31038456,
10:43:10:21,31038456,
10:43:10:25,31038456,
10:43:10:29,31038456,
10:43:10:33,31706424,
10:43:10:37,31706424,
10:43:10:41,31706424,
10:43:10:45,31706424,
10:43:10:48,32374520,
10:43:10:52,32374520,
10:43:10:56,32374520,
10:43:10:196,20557000,
10:43:10:200,21238592,
10:43:10:204,21238592,
10:43:10:208,21238592,
10:43:10:213,21238592,
10:43:10:217,22037560,
10:43:10:221,22799128,
10:43:10:225,22799128,
10:43:10:228,22799128,
10:43:10:232,23467032,
10:43:10:236,23467032,
10:43:10:240,23467032,
10:43:10:244,23467032,
10:43:10:247,23467032,
10:43:10:251,23467032,
10:43:10:255,23467032,
10:43:10:259,24134936,
10:43:10:263,24134936,
10:43:10:266,24134936,
10:43:10:270,24134936,
10:43:10:274,24134936,
10:43:10:278,24802896,
10:43:10:282,24802896,
10:43:10:286,24802896,
10:43:10:290,24802896,
10:43:10:293,25471168,
10:43:10:296,25471168,
10:43:10:300,25471168,
10:43:10:304,25471168,
10:43:10:308,25471168,
10:43:10:311,25471168,
10:43:10:314,26140016,
10:43:10:318,26140016,
10:43:10:322,26140016,
10:43:10:325,26140016,
10:43:10:329,26140016,
10:43:10:332,26140016,
10:43:10:336,26140016,
10:43:10:340,26808000,
10:43:10:343,26808000,
10:43:10:347,26808000,
10:43:10:351,26808000,
10:43:10:355,27475880,
10:43:10:359,27475880,
10:43:10:362,27475880,
